epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,505.664,1.02636,0.77931,1.25884,0.86855,0.65054,0.76601,0.44949,1.54127,1.18835,1.86712,0.000528058,0.000528058,0.000528058
55,514.581,1.04986,0.79095,1.25626,0.8686,0.67849,0.76745,0.46282,1.48258,1.17962,1.8201,0.000517059,0.000517059,0.000517059
56,523.028,1.03663,0.75372,1.23305,0.84241,0.63723,0.75365,0.45932,1.47888,1.2514,1.78177,0.00050606,0.00050606,0.00050606
57,531.647,1.07159,0.76482,1.23726,0.78866,0.67898,0.74344,0.44085,1.51391,1.23346,1.80043,0.000495062,0.000495062,0.000495062
58,540.398,1.014,0.75344,1.22919,0.81272,0.69518,0.78212,0.46408,1.49605,1.14923,1.77267,0.000484063,0.000484063,0.000484063
59,549.83,1.01836,0.74774,1.23572,0.82994,0.71912,0.76828,0.46009,1.48955,1.21101,1.80465,0.000473064,0.000473064,0.000473064
60,558.814,1.03035,0.73046,1.24535,0.80965,0.70458,0.75697,0.44985,1.50802,1.23045,1.85922,0.000462065,0.000462065,0.000462065
61,567.853,1.0582,0.75351,1.22897,0.84236,0.71395,0.7736,0.46597,1.46855,1.1964,1.77177,0.000451066,0.000451066,0.000451066
62,576.801,1.00119,0.74818,1.25003,0.85637,0.71429,0.76852,0.46081,1.4694,1.1993,1.75127,0.000440067,0.000440067,0.000440067
63,587.047,1.0108,0.75502,1.22529,0.83379,0.72004,0.77797,0.46242,1.4798,1.20812,1.77429,0.000429068,0.000429068,0.000429068
64,595.008,0.99751,0.73474,1.22563,0.82731,0.67794,0.77265,0.47196,1.47239,1.19346,1.75227,0.000418069,0.000418069,0.000418069
65,604.495,0.96497,0.71417,1.2136,0.84799,0.68314,0.76315,0.46388,1.48096,1.1655,1.76608,0.00040707,0.00040707,0.00040707
66,613.376,0.9677,0.70719,1.20053,0.76952,0.70826,0.75379,0.45616,1.49357,1.28187,1.78385,0.000396071,0.000396071,0.000396071
67,622.053,0.97473,0.69465,1.19169,0.77696,0.71995,0.76565,0.45081,1.49872,1.21856,1.79378,0.000385073,0.000385073,0.000385073
68,631.389,0.9491,0.70282,1.22816,0.87337,0.69664,0.76911,0.46126,1.51003,1.16813,1.82824,0.000374074,0.000374074,0.000374074
69,639.292,0.96734,0.71345,1.22352,0.91154,0.68625,0.77557,0.4723,1.45573,1.16287,1.80285,0.000363075,0.000363075,0.000363075
70,648.146,1.00684,0.7173,1.23866,0.82787,0.7013,0.77032,0.45433,1.49162,1.1851,1.84451,0.000352076,0.000352076,0.000352076
71,657.298,0.95158,0.666,1.17963,0.84692,0.72126,0.7805,0.45913,1.47019,1.1655,1.78964,0.000341077,0.000341077,0.000341077
72,665.111,0.94751,0.70226,1.21807,0.8206,0.7498,0.78976,0.46742,1.49331,1.15688,1.8037,0.000330078,0.000330078,0.000330078
73,674.068,0.91562,0.66302,1.18701,0.79995,0.73385,0.78024,0.46228,1.49284,1.18986,1.82954,0.000319079,0.000319079,0.000319079
74,683.617,0.95725,0.67601,1.19741,0.79232,0.71237,0.77049,0.4692,1.49329,1.20509,1.85714,0.00030808,0.00030808,0.00030808
75,693.07,0.94446,0.67749,1.17822,0.86793,0.68024,0.77277,0.47316,1.468,1.19041,1.80174,0.000297081,0.000297081,0.000297081
76,702.499,0.89067,0.66194,1.16699,0.83608,0.69552,0.77376,0.47246,1.48687,1.17508,1.83206,0.000286083,0.000286083,0.000286083
77,710.143,0.99132,0.69973,1.1994,0.78317,0.68589,0.76314,0.46576,1.49085,1.21409,1.82695,0.000275084,0.000275084,0.000275084
